location,aiPlaceName,rank,candidateName,categoryName,categoryGroupCode,address,placeUrl,x,y,score,gatePass,containsDirection,prefixRest,suffixRest
순천,조례호수공원,4,조례호수공원 주차장,"교통,수송 > 교통시설 > 주차장",PK6,전남광주통합특별시 순천시 조례동 1866,http://place.map.kakao.com/848805113,127.524756410957,34.9678731741146,8,true,CANDIDATE_LONGER,,주차장
순천,밥팜 순천만정원점,0,밥팜 순천만정원점,음식점 > 한식,FD6,전남광주통합특별시 순천시 오천3길 30,http://place.map.kakao.com/689403695,127.494494771709,34.9324200223212,10,true,EXACT,,
순천,구봉산 전망대,-1,,,,,,,,,,,,
순천,순천만습지순천만갈대군락지,0,순천만습지 순천만갈대군락지,"여행 > 관광,명소 > 생태보존,서식지",,전남광주통합특별시 순천시 해룡면 선학리 755-21,http://place.map.kakao.com/1771211020,127.51434378699,34.8831039914111,3,true,EXACT,,
순천,순천만명품식당,0,명품식당,음식점 > 한식 > 한정식,FD6,전남광주통합특별시 순천시 순천만길 518,http://place.map.kakao.com/928989253,127.508156725551,34.8873412952198,10,true,AI_LONGER,,
순천,만대재,0,만대재,음식점 > 카페,CE7,전남광주통합특별시 순천시 순천만길 530,http://place.map.kakao.com/542026001,127.508727429187,34.8883538709179,10,true,EXACT,,
순천,율봉서원,0,율봉서원,"여행 > 관광,명소 > 문화유적 > 서원",,전남광주통합특별시 순천시 별량면 우산리 725-1,http://place.map.kakao.com/10665495,127.472252954707,34.8832928073748,8,true,EXACT,,
순천,밥꽃이야기 들마루,0,밥꽃이야기 들마루,음식점 > 한식 > 한정식,FD6,전남광주통합특별시 순천시 순천만길 496,http://place.map.kakao.com/671502675,127.507353726478,34.8876871765371,10,true,EXACT,,
순천,용산전망대,0,순천만 용산전망대,"여행 > 관광,명소 > 전망대",AT4,전남광주통합특별시 순천시 해룡면 순천만길 513-51,http://place.map.kakao.com/1133962119,127.51931847716531,34.8729854870858,10,true,CANDIDATE_LONGER,순천만,
순천,남파랑길61-1코스(우회),0,남파랑길 61-1코스(우회노선),"여행 > 관광,명소 > 도보여행 > 남파랑길",AT4,전남광주통합특별시 순천시 대대동 192-6,http://place.map.kakao.com/1149485040,127.50444091631005,34.88648512837502,5,true,CANDIDATE_LONGER,,노선
순천,오공치 전망대,0,오공치전망대,"여행 > 관광,명소 > 전망대",AT4,전남광주통합특별시 순천시 낙안면 상송리 산 53-3,http://place.map.kakao.com/1483968996,127.329248266809,34.9275430227256,5,true,EXACT,,
순천,선암사계곡,0,선암사계곡,"여행 > 관광,명소 > 계곡",AT4,전남광주통합특별시 순천시 승주읍 죽학리,http://place.map.kakao.com/12639186,127.341023416607,34.9922551481081,10,true,EXACT,,
순천,다반사,0,다반사,음식점 > 카페,CE7,전남광주통합특별시 순천시 승주읍 승암교길 14,http://place.map.kakao.com/1764159275,127.343183607481,34.9923067493394,10,true,EXACT,,
순천,길상식당,0,길상식당,음식점 > 한식 > 한정식,FD6,전남광주통합특별시 순천시 승주읍 승암교길 8,http://place.map.kakao.com/11891805,127.3438324801159,34.991888476308596,10,true,EXACT,,
순천,길상식당,1,길상식당,음식점 > 한식,FD6,전남광주통합특별시 순천시 송광면 송광사안길 123,http://place.map.kakao.com/21272882,127.265879687557,35.0044024806382,10,true,EXACT,,
순천,선암사,0,선암사,"문화,예술 > 종교 > 불교 > 절,사찰",,전남광주통합특별시 순천시 승주읍 선암사길 450,http://place.map.kakao.com/7947688,127.33111270213585,34.99654790789232,8,true,EXACT,,
순천,선암사,1,선암사 제2주차장,"교통,수송 > 교통시설 > 주차장",PK6,전남광주통합특별시 순천시 승주읍 죽학리 755-3,http://place.map.kakao.com/26311124,127.342246817512,34.9925004861239,8,true,CANDIDATE_LONGER,,제2주차장
순천,선암사,2,선암사 승선교,"교통,수송 > 도로시설 > 교량,다리",,전남광주통합특별시 순천시 승주읍 죽학리 산 48-1,http://place.map.kakao.com/12706064,127.33344585750342,34.99384639902851,8,true,CANDIDATE_LONGER,,승선교
순천,선암사,3,선암사공원관리사무소 주차장,"교통,수송 > 교통시설 > 주차장",PK6,전남광주통합특별시 순천시 승주읍 선암사길 450,http://place.map.kakao.com/26438809,127.331259368298,34.9970630964695,8,true,CANDIDATE_LONGER,,공원관리사무소주차장
순천,선암사,4,조계산 송광사선암사 일원,"여행 > 관광,명소 > 문화유적 > 유적지",,전남광주통합특별시 순천시 승주읍 선암사길 450,http://place.map.kakao.com/12760595,127.32945938286629,34.99672366793397,8,true,CANDIDATE_LONGER,조계산송광사,일원
순천,송광사길상식당,0,길상식당,음식점 > 한식,FD6,전남광주통합특별시 순천시 송광면 송광사안길 123,http://place.map.kakao.com/21272882,127.265879687557,35.0044024806382,10,true,AI_LONGER,,
순천,낙안전통가옥체험장,0,낙안전통가옥체험장,"교육,학문 > 교육단체 > 체험학습장",,전남광주통합특별시 순천시 낙안면 충민길 90,http://place.map.kakao.com/16428950,127.338946828134,34.9082410273901,8,true,EXACT,,
순천,순천 낙안읍성,0,순천 낙안읍성,"여행 > 관광,명소 > 민속촌",AT4,전남광주통합특별시 순천시 낙안면 충민길 30,http://place.map.kakao.com/8234854,127.34177719691982,34.90631043247128,10,true,EXACT,,
순천,순천 낙안읍성,1,낙안읍성 민속문화축제,이슈 > 이벤트 > 페스티벌,,전남광주통합특별시 순천시 낙안면 충민길 30,http://place.map.kakao.com/8205006,127.34180685895643,34.90633919359403,3,false,DISJOINT,,
순천,순천 낙안읍성,2,낙안읍성 주차장,"교통,수송 > 교통시설 > 주차장",PK6,전남광주통합특별시 순천시 낙안면 평촌리 6-4,http://place.map.kakao.com/595255911,127.34357434937037,34.903805805654216,3,false,DISJOINT,,
순천,순천 낙안읍성,3,낙안읍성민속마을 관광안내소,"여행 > 관광,명소 > 관광안내소",,전남광주통합특별시 순천시 낙안면 충민길 13,http://place.map.kakao.com/25972435,127.341984313393,34.90559504616874,3,false,DISJOINT,,
순천,순천 낙안읍성,4,낙안읍성선비촌,음식점 > 한식 > 한정식,FD6,전남광주통합특별시 순천시 낙안면 삼일로 51,http://place.map.kakao.com/23926432,127.34322662562,34.905961114925,5,false,DISJOINT,,
순천,최대감벌교꼬막,0,최대감벌교꼬막,"음식점 > 한식 > 해물,생선 > 조개",FD6,전남광주통합특별시 순천시 낙안면 삼일로 63,http://place.map.kakao.com/1286663140,127.34372574833763,34.904953751048645,10,true,EXACT,,
순천,순천농협파머스마켓 낙안점,0,순천농협 파머스마켓 낙안점,"가정,생활 > 슈퍼마켓 > 대형슈퍼",,전남광주통합특별시 순천시 낙안면 삼일로 43,http://place.map.kakao.com/91940496,127.343667420279,34.9056606072421,3,true,EXACT,,
순천,양지쌈밥,0,양지쌈밥,음식점 > 한식 > 쌈밥,FD6,전남광주통합특별시 순천시 금곡길 8,http://place.map.kakao.com/21295112,127.48337567684165,34.955011905291,10,true,EXACT,,
순천,아트박스 순천중앙점,0,아트박스 순천중앙점,"가정,생활 > 문구,사무용품 > 디자인문구 > 아트박스",,전남광주통합특별시 순천시 황금2길 14,http://place.map.kakao.com/26968997,127.48549237558383,34.9541534627889,8,true,EXACT,,
순천,해강 순천시청점,-1,,,,,,,,,,,,
순천,봉화산무장애나눔길,0,봉화산 무장애나눔길,"여행 > 관광,명소 > 도보여행 > 무장애나눔길",AT4,전남광주통합특별시 순천시 조곡동 284-14,http://place.map.kakao.com/1760186498,127.498248881796,34.9550257180202,5,true,EXACT,,
순천,옥천서원(순천),0,옥천서원,"여행 > 관광,명소 > 문화유적 > 서원",,전남광주통합특별시 순천시 임청대길 18,http://place.map.kakao.com/10615117,127.478804484206,34.9521329772639,8,true,AI_LONGER,,
순천,순천호탄집 오천지구점,-1,,,,,,,,,,,,
순천,스카이큐브,0,순천만국가정원 정원역,여행 > 관광지부속시설,,전남광주통합특별시 순천시 강변로 435,http://place.map.kakao.com/27134423,127.50185045938582,34.92675442212032,3,false,DISJOINT,,
순천,스카이큐브,1,스카이큐브 사무실,"서비스,산업 > 관리,운영",,전남광주통합특별시 순천시 강변로 435,http://place.map.kakao.com/389181911,127.501770196301,34.9265140845075,8,true,CANDIDATE_LONGER,,사무실
순천,순천만국가정원 테라피가든,-1,,,,,,,,,,,,
순천,나눌터,0,나눌터,음식점 > 한식,FD6,전남광주통합특별시 순천시 팔마1길 4,http://place.map.kakao.com/14504521,127.514056981487,34.9325767938184,10,true,EXACT,,
영주,소백산 자락길,0,소백산자락길 1자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 순흥면 배점리,http://place.map.kakao.com/18973425,128.5362917609206,36.93724312417928,5,true,CANDIDATE_LONGER,,1자락
영주,소백산 자락길,1,소백산자락길 2자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 풍기읍 금계리,http://place.map.kakao.com/18973426,128.51758453160096,36.88407198077996,5,true,CANDIDATE_LONGER,,2자락
영주,소백산 자락길,2,소백산자락길 12자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 단산면 단곡리,http://place.map.kakao.com/18973424,128.55945393067782,36.9647747802103,5,true,CANDIDATE_LONGER,,12자락
영주,소백산 자락길,3,소백산자락길 9자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 부석면 남대리,http://place.map.kakao.com/18973433,128.69694553180204,37.02571563622527,5,true,CANDIDATE_LONGER,,9자락
영주,소백산 자락길,4,소백산자락길 8자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 부석면 남대리,http://place.map.kakao.com/18973432,128.63861875616303,37.05236833748804,5,true,CANDIDATE_LONGER,,8자락
영주,영주포교당,0,영주포교당,"문화,예술 > 종교 > 불교 > 절,사찰",,경북 영주시 중앙로63번길 41-10,http://place.map.kakao.com/12675360,128.621257271739,36.823275958304,8,true,EXACT,,
영주,라라코스트 영주역점,0,라라코스트 영주점,음식점 > 패밀리레스토랑 > 라라코스트,FD6,경북 영주시 대학로12번길 4,http://place.map.kakao.com/26778230,128.622918119407,36.8104301580385,5,false,DISJOINT,,
영주,더달달 영주역점,0,더달달 영주역점,"가정,생활 > 식품판매",,경북 영주시 선비로 65,http://place.map.kakao.com/412885716,128.623823634069,36.810753870132,8,true,EXACT,,
영주,태극당 영주역점,0,태극당 영주역점,"음식점 > 간식 > 제과,베이커리",FD6,경북 영주시 선비로 64,http://place.map.kakao.com/1781301485,128.6250853221735,36.810910525956274,10,true,EXACT,,
영주,장수식당,0,장수식당,음식점 > 한식,FD6,경북 영주시 선비로 43,http://place.map.kakao.com/1876567170,128.624869957754,36.809044778585,10,true,EXACT,,
영주,장수식당,1,장수표고식당,음식점 > 한식 > 국수 > 칼국수,FD6,경북 영주시 장수면 장수로 252-2,http://place.map.kakao.com/894673407,128.5909443376105,36.788437874376264,5,false,DISJOINT,,
영주,장수식당,2,장수 식육식당,"음식점 > 한식 > 육류,고기",FD6,경북 영주시 장수면 옥계로 3,http://place.map.kakao.com/16874292,128.5797899007292,36.775055092693606,5,false,DISJOINT,,
영주,장수식당,3,장수반점,음식점 > 중식 > 중국요리,FD6,경북 영주시 장수면 장수로 42,http://place.map.kakao.com/9989036,128.577811778076,36.7749389897389,5,false,DISJOINT,,
영주,장수식당,4,장수돼지국밥,음식점 > 한식 > 국밥,FD6,경북 영주시 구성로 180,http://place.map.kakao.com/1883779984,128.629009114229,36.809359354002,5,false,DISJOINT,,
영주,소수서원,0,소수서원,"여행 > 관광,명소 > 문화유적 > 서원",,경북 영주시 순흥면 소백로 2740,http://place.map.kakao.com/9479775,128.580202883743,36.9256206705394,8,true,EXACT,,
영주,소수서원,1,소수서원 주차장,"교통,수송 > 교통시설 > 주차장",PK6,경북 영주시 순흥면 소백로 2740,http://place.map.kakao.com/17583504,128.578612181843,36.9242362695409,8,true,CANDIDATE_LONGER,,주차장
영주,소수서원,2,소수서원시립박물관,"문화,예술 > 문화시설 > 박물관",CT1,경북 영주시 순흥면 소백로 2740,http://place.map.kakao.com/19408863,128.580188974349,36.9255992316798,8,true,CANDIDATE_LONGER,,시립박물관
영주,소수서원,3,소수서원 매표소,"서비스,산업 > 관리,운영 > 매표소",,경북 영주시 순흥면 소백로 2740,http://place.map.kakao.com/18119070,128.579212604727,36.9244012784042,8,true,CANDIDATE_LONGER,,매표소
영주,소수서원,4,소수박물관,"문화,예술 > 문화시설 > 박물관",CT1,경북 영주시 순흥면 소백로 2780,http://place.map.kakao.com/11407632,128.582427259849,36.9259514505642,3,false,DISJOINT,,
영주,연화 카페,0,연화떡카페,음식점 > 카페 > 테마카페 > 떡카페,CE7,경북 영주시 순흥면 죽계로 26,http://place.map.kakao.com/2128987472,128.574345728595,36.9204267199375,5,false,DISJOINT,,
영주,순흥전통묵집,0,순흥전통묵집,음식점 > 한식,FD6,경북 영주시 순흥면 순흥로39번길 21,http://place.map.kakao.com/21515429,128.5750727439757,36.91343703829087,10,true,EXACT,,
영주,순흥전통묵집,1,순흥전통묵집 주차장,"교통,수송 > 교통시설 > 주차장",PK6,경북 영주시 순흥면 순흥로39번길 21,http://place.map.kakao.com/627299062,128.575108528888,36.9134311577293,8,true,CANDIDATE_LONGER,,주차장
영주,소백산자락길1코스,0,소백산자락길 1자락,"여행 > 관광,명소 > 도보여행 > 소백산자락길",AT4,경북 영주시 순흥면 배점리,http://place.map.kakao.com/18973425,128.5362917609206,36.93724312417928,5,false,DISJOINT,,
영주,성혈사(영주),0,성혈사,"문화,예술 > 종교 > 불교 > 절,사찰",,경북 영주시 순흥면 죽계로 459-99,http://place.map.kakao.com/10470794,128.543276024837,36.9505161806548,8,true,AI_LONGER,,
영주,희방계곡,0,희방폭포,"여행 > 관광,명소 > 폭포",,경북 영주시 풍기읍 수철리,http://place.map.kakao.com/8176818,128.45809367955,36.9178445952149,3,false,DISJOINT,,
영주,희방계곡,1,희방계곡,"여행 > 관광,명소 > 계곡",AT4,경북 영주시 풍기읍 수철리,http://place.map.kakao.com/8176791,128.456940549798,36.9140925105143,10,true,EXACT,,
영주,묘솔캠핑장,0,묘솔캠핑장,"여행 > 숙박 > 야영,캠핑장 > 오토캠핑장",AD5,경북 영주시 풍기읍 삼가로 423,http://place.map.kakao.com/20842180,128.507622195582,36.9211329921626,8,true,EXACT,,
영주,뜬돌반점 영주택지본점,-1,,,,,,,,,,,,
영주,스타벅스 영주가흥점,0,스타벅스 영주가흥점,음식점 > 카페 > 커피전문점 > 스타벅스,CE7,경북 영주시 영주로 90,http://place.map.kakao.com/2116412701,128.610235066977,36.8229112928205,10,true,EXACT,,
영주,스타벅스 영주가흥점,1,스타벅스 영주가흥점 제1주차장,"교통,수송 > 교통시설 > 주차장",PK6,경북 영주시 가흥동 396-2,http://place.map.kakao.com/650050196,128.610657682299,36.8226487803226,8,true,CANDIDATE_LONGER,,제1주차장
영주,스타벅스 영주가흥점,2,스타벅스 영주가흥점 제2주차장,"교통,수송 > 교통시설 > 주차장",PK6,경북 영주시 가흥동 397-2,http://place.map.kakao.com/914495432,128.610019616818,36.8226844538461,8,true,CANDIDATE_LONGER,,제2주차장
영주,스타벅스 영주가흥점,3,스타벅스 영주가흥점 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",,경북 영주시 영주로 90,http://place.map.kakao.com/2064307085,128.610247851198,36.8228795843678,8,true,CANDIDATE_LONGER,,전기차충전소
영주,풍기향교,0,풍기향교,"여행 > 관광,명소 > 문화유적 > 향교,서당",,경북 영주시 풍기읍 금계로 104,http://place.map.kakao.com/8640652,128.5255769853,36.8816882638774,8,true,EXACT,,
영주,풍기향교,1,풍기 향교서무,"여행 > 관광,명소 > 문화유적 > 향교,서당",,경북 영주시 풍기읍 금계로 104,http://place.map.kakao.com/12692372,128.525581112093,36.8816701906829,3,true,CANDIDATE_LONGER,,서무
영주,풍기향교,2,풍기향교 대성전동,"여행 > 관광,명소 > 문화유적 > 향교,서당",,경북 영주시 풍기읍 금계로 104,http://place.map.kakao.com/12692376,128.525882452348,36.8814825148898,8,true,CANDIDATE_LONGER,,대성전동
영주,풍기향교,3,향교마을노인회관,"사회,공공기관 > 단체,협회 > 사회복지시설 > 노인복지시설",,경북 영주시 풍기읍 금계로64번길 45,http://place.map.kakao.com/23861683,128.52777177761655,36.88128524152526,3,false,DISJOINT,,
영주,까몬 영주점,-1,,,,,,,,,,,,
영주,선비촌,0,선비촌,"교육,학문 > 교육단체 > 체험학습장",,경북 영주시 순흥면 소백로 2796,http://place.map.kakao.com/15456128,128.58267875884908,36.927531150886296,8,true,EXACT,,
영주,선비촌,1,선비촌종가집,음식점 > 한식,FD6,경북 영주시 순흥면 소백로 2796,http://place.map.kakao.com/10490979,128.58162463644874,36.92724426181399,10,true,CANDIDATE_LONGER,,종가집
영주,선비촌,2,선비촌,"부동산 > 주거시설 > 빌라,주택",,경북 영주시 영주로86번길 26-4,http://place.map.kakao.com/334390486,128.61105825662182,36.82197660631717,8,true,EXACT,,
영주,선비촌,3,선비촌요양원,"의료,건강 > 요양,간병 > 요양원",,경북 영주시 순흥면 회헌로884번길 27-40,http://place.map.kakao.com/1689806383,128.583598637576,36.9025531181788,8,true,CANDIDATE_LONGER,,요양원
영주,선비촌,4,선비촌순흥청국장,음식점 > 한식,FD6,경북 영주시 순흥면 소백로 2661,http://place.map.kakao.com/1567444207,128.57482454789246,36.91779125635626,10,true,CANDIDATE_LONGER,,순흥청국장
영주,선비촌종가집,0,선비촌종가집,음식점 > 한식,FD6,경북 영주시 순흥면 소백로 2796,http://place.map.kakao.com/10490979,128.58162463644874,36.92724426181399,10,true,EXACT,,
영주,나드리,0,나드리,음식점 > 분식,FD6,경북 영주시 중앙로 89,http://place.map.kakao.com/8241870,128.62484665091358,36.823366607937686,10,true,EXACT,,
영주,나드리,1,나드리2,음식점 > 분식,FD6,경북 영주시 풍기읍 풍기로 73-1,http://place.map.kakao.com/9533843,128.52606966761516,36.8712770625118,10,true,CANDIDATE_LONGER,,2
영주,나드리,2,나드리푸드,"서비스,산업 > 식품 > 식품가공,제조",,경북 영주시 대동로 89-3,http://place.map.kakao.com/2011289739,128.61218437975174,36.81496951323388,8,true,CANDIDATE_LONGER,,푸드
영주,나드리,3,나드리김밥 풍기점,음식점 > 분식 > 나드리김밥,FD6,경북 영주시 풍기읍 동성로 92,http://place.map.kakao.com/15398082,128.526463201988,36.871441397817,10,true,CANDIDATE_LONGER,,김밥풍기점
