requestId,location,regionTier,keywordSet,day,placeCount,mealCount,beforeKm,afterKm,shortestKm,reductionPct,concessionKm,beforeKmPerLeg,afterKmPerLeg,beforeCrossings,afterCrossings,beforeBacktracks,afterBacktracks,beforeEndTime,afterEndTime
15,강릉,FAMOUS,C,2,6,2,11.0613,6.1343,5.6104,44.54,0.5239,2.2123,1.2269,0,0,2,1,18:45,18:45
15,강릉,FAMOUS,C,3,6,2,10.7226,7.0658,5.5279,34.10,1.5379,2.1445,1.4132,1,0,3,3,18:45,18:45
16,순천,MINOR,A,1,6,2,13.5064,11.5949,6.4850,14.15,5.1099,2.7013,2.3190,0,0,3,2,19:05,18:55
16,순천,MINOR,A,2,6,2,19.0957,14.9883,11.2376,21.51,3.7507,3.8191,2.9977,0,0,2,1,18:45,18:45
16,순천,MINOR,A,3,6,1,3.4779,2.4406,2.4114,29.83,0.0291,0.6956,0.4881,1,0,3,1,17:45,17:45
17,순천,MINOR,B,1,6,2,12.1618,8.5775,6.6280,29.47,1.9495,2.4324,1.7155,1,2,3,3,18:45,18:45
17,순천,MINOR,B,2,6,2,5.8491,3.8406,3.0171,34.34,0.8235,1.1698,0.7681,1,0,3,3,18:45,18:45
17,순천,MINOR,B,3,5,1,2.7265,2.6246,2.3066,3.74,0.3180,0.6816,0.6561,0,0,1,0,16:00,16:00
18,순천,MINOR,C,1,6,2,6.3167,4.8854,4.5030,22.66,0.3824,1.2633,0.9771,1,0,4,2,19:00,18:50
18,순천,MINOR,C,2,6,2,17.1670,11.4641,9.2619,33.22,2.2022,3.4334,2.2928,0,0,3,3,19:20,18:50
18,순천,MINOR,C,3,5,1,13.2795,6.8142,6.7519,48.69,0.0623,3.3199,1.7035,1,1,2,2,17:05,16:35
19,영주,MINOR,A,1,5,1,7.4391,5.7458,5.7458,22.76,0.0000,1.8598,1.4364,3,0,3,1,17:05,17:00
19,영주,MINOR,A,2,5,1,13.4827,8.3069,8.3069,38.39,0.0000,3.3707,2.0767,1,0,2,0,17:20,16:55
19,영주,MINOR,A,3,5,1,9.3310,5.4542,5.4542,41.55,0.0000,2.3328,1.3635,1,0,3,1,15:30,15:15
20,영주,MINOR,B,1,5,1,7.6465,4.2183,4.2183,44.83,0.0000,1.9116,1.0546,0,0,2,0,16:55,16:50
20,영주,MINOR,B,2,5,1,18.1677,5.6588,5.6588,68.85,0.0000,4.5419,1.4147,3,0,3,0,15:40,15:05
20,영주,MINOR,B,3,5,1,9.6216,5.2217,5.1618,45.73,0.0599,2.4054,1.3054,1,0,1,1,16:45,16:35
21,영주,MINOR,C,1,5,1,6.3988,5.9153,5.9153,7.56,0.0000,1.5997,1.4788,0,0,1,0,17:30,17:30
21,영주,MINOR,C,2,6,2,28.1966,15.0189,14.6226,46.73,0.3964,5.6393,3.0038,1,1,3,2,21:15,21:20
21,영주,MINOR,C,3,5,1,18.1677,5.6588,5.6588,68.85,0.0000,4.5419,1.4147,3,0,3,0,16:15,15:15
22,공주,MINOR,A,1,6,2,3.6620,1.9524,1.6877,46.69,0.2647,0.7324,0.3905,3,0,3,1,18:45,20:00
22,공주,MINOR,A,2,6,2,18.1191,16.1468,13.5940,10.89,2.5528,3.6238,3.2294,1,0,3,2,18:55,18:45
