requestId,location,regionTier,keywordSet,day,placeCount,mealCount,lambda,beforeKm,afterKm,shortestKm,mealViolationMinutes,crossings,backtracks
2,경주,FAMOUS,B,3,6,2,4.00,20.2494,13.5756,10.6875,0,0,1
2,경주,FAMOUS,B,3,6,2,8.00,20.2494,13.5756,10.6875,0,0,1
2,경주,FAMOUS,B,3,6,2,16.00,20.2494,13.5756,10.6875,0,0,1
3,경주,FAMOUS,C,1,6,2,0.00,3.5860,2.5134,2.5134,170,0,2
3,경주,FAMOUS,C,1,6,2,0.25,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,0.50,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,1.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,1.25,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,1.50,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,1.75,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,2.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,3.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,4.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,8.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,1,6,2,16.00,3.5860,2.9109,2.5134,0,0,3
3,경주,FAMOUS,C,2,6,2,0.00,9.6528,5.3464,5.3464,105,0,1
3,경주,FAMOUS,C,2,6,2,0.25,9.6528,5.3571,5.3464,4,0,1
3,경주,FAMOUS,C,2,6,2,0.50,9.6528,5.3571,5.3464,4,0,1
3,경주,FAMOUS,C,2,6,2,1.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,1.25,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,1.50,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,1.75,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,2.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,3.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,4.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,8.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,2,6,2,16.00,9.6528,6.1106,5.3464,0,0,2
3,경주,FAMOUS,C,3,6,2,0.00,14.9782,7.2721,7.2721,471,0,0
3,경주,FAMOUS,C,3,6,2,0.25,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,0.50,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,1.00,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,1.25,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,1.50,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,1.75,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,2.00,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,3.00,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,4.00,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,8.00,14.9782,9.5415,7.2721,0,1,2
3,경주,FAMOUS,C,3,6,2,16.00,14.9782,9.5415,7.2721,0,1,2
4,부산,FAMOUS,A,1,6,2,0.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,0.25,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,0.50,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,1.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,1.25,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,1.50,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,1.75,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,2.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,3.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,4.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,8.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,1,6,2,16.00,4.0051,2.4287,2.4287,0,0,1
4,부산,FAMOUS,A,2,6,2,0.00,4.2632,3.1143,3.1143,187,0,2
4,부산,FAMOUS,A,2,6,2,0.25,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,0.50,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,1.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,1.25,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,1.50,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,1.75,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,2.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,3.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,4.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,8.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,2,6,2,16.00,4.2632,3.3811,3.1143,0,0,2
4,부산,FAMOUS,A,3,6,2,0.00,3.4503,2.1878,2.1878,134,0,0
4,부산,FAMOUS,A,3,6,2,0.25,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,0.50,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,1.00,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,1.25,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,1.50,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,1.75,3.4503,2.9130,2.1878,0,1,2
4,부산,FAMOUS,A,3,6,2,2.00,3.4503,2.9130,2.1878,0,1,2
